Symbol,ZM
AssetType,Common Stock
Name,Zoom Video Communications Inc
Description,"Zoom Video Communications, Inc. provides a premier video communications platform in the Americas, Asia Pacific, Europe, the Middle East, and Africa. The company is headquartered in San Jose, California."
CIK,1585521
Exchange,NASDAQ
Currency,USD
Country,USA
Sector,TECHNOLOGY
Industry,SOFTWARE - APPLICATION
Address,"55 ALMADEN BOULEVARD, SAN JOSE, CA, UNITED STATES, 95113"
OfficialSite,https://www.zoom.com
FiscalYearEnd,January
LatestQuarter,2026-01-31
MarketCapitalization,30480343000
EBITDA,1274664000
PERatio,16.74
PEGRatio,4.214
BookValue,33.19
DividendPerShare,None
DividendYield,None
EPS,6.18
RevenuePerShareTTM,16.2
ProfitMargin,0.39
OperatingMarginTTM,0.215
ReturnOnAssetsTTM,0.0622
ReturnOnEquityTTM,0.203
RevenueTTM,4868769000
GrossProfitTTM,3767933000
DilutedEPSTTM,6.18
QuarterlyEarningsGrowthYOY,0.915
QuarterlyRevenueGrowthYOY,0.053
AnalystTargetPrice,97.33
AnalystRatingStrongBuy,3
AnalystRatingBuy,14
AnalystRatingHold,9
AnalystRatingSell,1
AnalystRatingStrongSell,1
TrailingPE,16.74
ForwardPE,17.76
PriceToSalesRatioTTM,6.26
PriceToBookRatio,3.108
EVToRevenue,4.667
EVToEBITDA,18.08
Beta,0.883
52WeekHigh,104.14
52WeekLow,69.15
50DayMovingAverage,82.48
200DayMovingAverage,82.95
SharesOutstanding,265970000
SharesFloat,260232000
PercentInsiders,0.264
PercentInstitutions,78.165
DividendDate,None
ExDividendDate,None
